%
%
% Run:004   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
    300.00500        0.0429      0.042198 
    300.00500        0.0010      0.000980 
    300.00500        0.0000      0.000000 
    300.00500        0.0000      0.000000 
    600.00500        0.0864      0.084855 
    600.00500        0.0389      0.038481 
    600.00500        0.0008      0.000795 
    600.00500        0.0000      0.000000 
    900.00500        0.1298      0.126443 
    900.00500        0.0805      0.079143 
    900.00500        0.0324      0.032036 
    900.00500        0.0012      0.000000 
   1200.00500        0.1729      0.166523 
   1200.00500        0.1240      0.120934 
   1200.00500        0.0762      0.074158 
   1200.00500        0.0493      0.000000 
   1500.00500        0.2157      0.204816 
   1500.00500        0.1657      0.159218 
   1500.00500        0.1362      0.097839 
   1500.00500        0.1385      0.000000 
   1800.00500        0.2580      0.240672 
   1800.00500        0.2195      0.184632 
   1800.00500        0.2238      0.089799 
   1800.00500        0.2236      0.000000 
   2100.00488        0.3006      0.259271 
   2100.00488        0.3077      0.174946 
   2100.00488        0.3074      0.088169 
   2100.00488        0.3078      0.000000 
   2400.00488        0.3428      0.210716 
   2400.00488        0.3824      0.166236 
   2400.00488        0.3874      0.085963 
   2400.00488        0.3893      0.000000 
   2700.00488        0.3835      0.173147 
   2700.00488        0.4249      0.127003 
   2700.00488        0.4626      0.080340 
   2700.00488        0.4678      0.000000 
   3000.00488        0.4233      0.132930 
   3000.00488        0.4670      0.089169 
   3000.00488        0.5092      0.046408 
   3000.00488        0.5407      0.000000 
   3300.00488        0.4625      0.093075 
   3300.00488        0.5058      0.050391 
   3300.00488        0.5457      0.010818 
   3300.00488        0.5589      0.000000 
   3600.00488        0.5008      0.052784 
   3600.00488        0.5424      0.014536 
   3600.00488        0.5579      0.002765 
   3600.00488        0.5546      0.000000 
   3900.00488        0.5379      0.014863 
   3900.00488        0.5594      0.003319 
   3900.00488        0.5541      0.001396 
   3900.00488        0.5550      0.000000 
   4200.00488        0.5730      0.009991 
   4200.00488        0.5528      0.001996 
   4200.00488        0.5551      0.000497 
   4200.00488        0.5562      0.000000 
   4500.00488        0.6082      0.055922 
   4500.00488        0.5682      0.010028 
   4500.00488        0.5559      0.002531 
   4500.00488        0.5558      0.000000 
   4800.00488        0.6422      0.078674 
   4800.00488        0.6084      0.047426 
   4800.00488        0.5655      0.007617 
   4800.00488        0.5541      0.000000 
   5100.00488        0.6751      0.111771 
   5100.00488        0.6375      0.077401 
   5100.00488        0.6028      0.046373 
   5100.00488        0.5690      0.000000 
   5400.00488        0.7067      0.142394 
   5400.00488        0.6706      0.110855 
   5400.00488        0.6401      0.069584 
   5400.00488        0.6409      0.000000 
   5700.00488        0.7366      0.170672 
   5700.00488        0.7060      0.134282 
   5700.00488        0.7067      0.069314 
   5700.00488        0.7081      0.000000 
   6000.00488        0.7659      0.188746 
   6000.00488        0.7659      0.133294 
   6000.00488        0.7722      0.064408 
   6000.00488        0.7754      0.000000 
   6300.00488        0.7941      0.163765 
   6300.00488        0.8290      0.119401 
   6300.00488        0.8328      0.061830 
   6300.00488        0.8331      0.000000 
   6600.00488        0.8197      0.112887 
   6600.00488        0.8637      0.095245 
   6600.00488        0.8885      0.057791 
   6600.00488        0.8927      0.000000 
   6900.00488        0.8441      0.082799 
   6900.00488        0.8799      0.053538 
   6900.00488        0.9272      0.035049 
   6900.00488        0.9477      0.000000 
   7200.00488        0.8666      0.043363 
   7200.00488        0.9091      0.021715 
   7200.00488        0.9406      0.003772 
   7200.00488        0.9654      0.000000 
   7500.00488        0.8877      0.004089 
   7500.00488        0.9274      0.014217 
   7500.00488        0.9500      0.016458 
   7500.00488        0.9398      0.000000 
   7800.00488        0.9068      0.029169 
   7800.00488        0.9314      0.034322 
   7800.00488        0.9272      0.014886 
   7800.00488        0.9335      0.000000 
   8100.00488        0.9238      0.039478 
   8100.00488        0.9110      0.030574 
   8100.00488        0.9154      0.017318 
   8100.00488        0.9132      0.000000 
   8400.00488        0.9391      0.006188 
   8400.00488        0.9067      0.025043 
   8400.00488        0.8984      0.016754 
   8400.00488        0.8999      0.000000 
   8700.00488        0.9534      0.021042 
   8700.00488        0.9222      0.005043 
   8700.00488        0.8906      0.011036 
   8700.00488        0.8810      0.000000 
   9000.00488        0.9653      0.044444 
   9000.00488        0.9384      0.033530 
   9000.00488        0.9016      0.018334 
   9000.00488        0.8760      0.000000 
   9300.00488        0.9760      0.067325 
   9300.00488        0.9445      0.058522 
   9300.00488        0.9223      0.045320 
   9300.00488        0.9158      0.000000 
   9600.00488        0.9843      0.095400 
   9600.00488        0.9599      0.080144 
   9600.00488        0.9567      0.043127 
   9600.00488        0.9693      0.000000 
   9900.00488        0.9913      0.107716 
   9900.00488        0.9950      0.080653 
   9900.00488        1.0046      0.035356 
   9900.00488        0.9989      0.000000 
  10200.00488        0.9969      0.085121 
  10200.00488        1.0334      0.063655 
  10200.00488        1.0369      0.037078 
  10200.00488        1.0411      0.000000 
  10500.00488        1.0000      0.035176 
  10500.00488        1.0427      0.044830 
  10500.00488        1.0703      0.027786 
  10500.00488        1.0748      0.000000 
  10800.00488        1.0006      0.007154 
  10800.00488        1.0392      0.001808 
  10800.00488        1.0815      0.009682 
  10800.00488        1.0986      0.000000 
  11100.00488        0.9998      0.032009 
  11100.00488        1.0396      0.026914 
  11100.00488        1.0718      0.025491 
  11100.00488        1.0955      0.000000 
  11400.00488        0.9968      0.063159 
  11400.00488        1.0338      0.059944 
  11400.00488        1.0557      0.040742 
  11400.00488        1.0493      0.000000 
  11700.00488        0.9918      0.097158 
  11700.00488        1.0155      0.077918 
  11700.00488        1.0125      0.036907 
  11700.00488        1.0117      0.000000 
  12000.00488        0.9848      0.106211 
  12000.00488        0.9731      0.076549 
  12000.00488        0.9746      0.036676 
  12000.00488        0.9769      0.000000 
  12300.00488        0.9757      0.074485 
  12300.00488        0.9447      0.065586 
  12300.00488        0.9381      0.040796 
  12300.00488        0.9373      0.000000 
  12600.00488        0.9657      0.045610 
  12600.00488        0.9393      0.042677 
  12600.00488        0.9076      0.029752 
  12600.00488        0.8983      0.000000 
  12900.00488        0.9533      0.032831 
  12900.00488        0.9292      0.013141 
  12900.00488        0.8966      0.006169 
  12900.00488        0.8785      0.000000 
  13200.00488        0.9393      0.004333 
  13200.00488        0.9127      0.005119 
  13200.00488        0.8967      0.016833 
  13200.00488        0.8875      0.000000 
  13500.00488        0.9237      0.013213 
  13500.00488        0.9072      0.026381 
  13500.00488        0.9011      0.015318 
  13500.00488        0.9138      0.000000 
  13800.00488        0.9065      0.025127 
  13800.00488        0.9097      0.025617 
  13800.00488        0.9240      0.009141 
