%
%
% Run:006   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
    300.00500        0.0432      0.042621 
    300.00500        0.0181      0.017906 
    300.00500        0.0011      0.001110 
    300.00500        0.0000      0.000000 
    600.00500        0.0868      0.085860 
    600.00500        0.0630      0.062206 
    600.00500        0.0402      0.037907 
    600.00500        0.0225      0.000000 
    900.00500        0.1302      0.127187 
    900.00500        0.1139      0.097688 
    900.00500        0.1147      0.048220 
    900.00500        0.1140      0.000000 
   1200.00500        0.1742      0.121994 
   1200.00500        0.1983      0.089765 
   1200.00500        0.2032      0.047446 
   1200.00500        0.2034      0.000000 
   1500.00500        0.2168      0.073077 
   1500.00500        0.2418      0.046800 
   1500.00500        0.2714      0.028340 
   1500.00500        0.2837      0.000000 
   1800.00500        0.2592      0.027312 
   1800.00500        0.2815      0.005949 
   1800.00500        0.2945      0.005065 
   1800.00500        0.2932      0.000000 
   2100.00488        0.3007      0.002835 
   2100.00488        0.2921      0.004802 
   2100.00488        0.2870      0.001071 
   2100.00488        0.2900      0.000000 
   2400.00488        0.3416      0.051696 
   2400.00488        0.3138      0.023143 
   2400.00488        0.2924      0.006596 
   2400.00488        0.2884      0.000000 
   2700.00488        0.3823      0.091991 
   2700.00488        0.3597      0.070902 
   2700.00488        0.3400      0.043838 
   2700.00488        0.3285      0.000000 
   3000.00488        0.4225      0.124983 
   3000.00488        0.4175      0.095590 
   3000.00488        0.4200      0.046393 
   3000.00488        0.4256      0.000000 
   3300.00488        0.4623      0.098708 
   3300.00488        0.4940      0.073717 
   3300.00488        0.5032      0.041700 
   3300.00488        0.5079      0.000000 
   3600.00488        0.5003      0.045252 
   3600.00488        0.5254      0.025778 
   3600.00488        0.5546      0.012466 
   3600.00488        0.5672      0.000000 
   3900.00488        0.5376      0.002186 
   3900.00488        0.5543      0.008237 
   3900.00488        0.5582      0.011691 
   3900.00488        0.5544      0.000000 
   4200.00488        0.5733      0.001944 
   4200.00488        0.5529      0.004730 
   4200.00488        0.5436      0.003159 
   4200.00488        0.5462      0.000000 
   4500.00488        0.6084      0.058512 
   4500.00488        0.5808      0.034094 
   4500.00488        0.5562      0.013169 
   4500.00488        0.5452      0.000000 
   4800.00488        0.6425      0.094748 
   4800.00488        0.6231      0.077423 
   4800.00488        0.6136      0.047021 
   4800.00488        0.6067      0.000000 
   5100.00488        0.6758      0.111739 
   5100.00488        0.6855      0.084235 
   5100.00488        0.6944      0.039537 
   5100.00488        0.6982      0.000000 
   5400.00488        0.7077      0.062294 
   5400.00488        0.7420      0.046783 
   5400.00488        0.7609      0.029839 
   5400.00488        0.7675      0.000000 
   5700.00488        0.7376      0.013056 
   5700.00488        0.7591      0.002494 
   5700.00488        0.7838      0.006192 
   5700.00488        0.7921      0.000000 
   6000.00488        0.7661      0.019629 
   6000.00488        0.7700      0.022388 
   6000.00488        0.7657      0.014126 
   6000.00488        0.7590      0.000000 
   6300.00488        0.7929      0.009481 
   6300.00488        0.7626      0.000348 
   6300.00488        0.7478      0.002735 
   6300.00488        0.7481      0.000000 
   6600.00488        0.8188      0.064889 
   6600.00488        0.7960      0.044963 
   6600.00488        0.7706      0.024218 
   6600.00488        0.7581      0.000000 
   6900.00488        0.8432      0.092522 
   6900.00488        0.8332      0.075277 
   6900.00488        0.8353      0.044428 
   6900.00488        0.8364      0.000000 
   7200.00488        0.8665      0.080642 
   7200.00488        0.8930      0.060723 
   7200.00488        0.9057      0.028798 
   7200.00488        0.9096      0.000000 
   7500.00488        0.8875      0.017621 
   7500.00488        0.9190      0.011901 
   7500.00488        0.9429      0.010506 
   7500.00488        0.9552      0.000000 
   7800.00488        0.9065      0.020841 
   7800.00488        0.9217      0.029026 
   7800.00488        0.9327      0.022027 
   7800.00488        0.9355      0.000000 
   8100.00488        0.9236      0.031972 
   8100.00488        0.9102      0.027479 
   8100.00488        0.8987      0.013537 
   8100.00488        0.8930      0.000000 
   8400.00488        0.9392      0.021262 
   8400.00488        0.9071      0.011184 
   8400.00488        0.8859      0.000937 
   8400.00488        0.8823      0.000000 
   8700.00488        0.9535      0.064330 
   8700.00488        0.9385      0.053037 
   8700.00488        0.9207      0.033293 
   8700.00488        0.9128      0.000000 
   9000.00488        0.9659      0.076583 
   9000.00488        0.9715      0.061559 
   9000.00488        0.9843      0.032700 
   9000.00488        0.9900      0.000000 
   9300.00488        0.9769      0.031805 
   9300.00488        1.0131      0.026558 
   9300.00488        1.0308      0.014035 
   9300.00488        1.0349      0.000000 
   9600.00488        0.9851      0.026027 
   9600.00488        1.0076      0.024033 
   9600.00488        1.0303      0.013364 
   9600.00488        1.0430      0.000000 
   9900.00488        0.9915      0.048780 
   9900.00488        0.9948      0.046404 
   9900.00488        0.9910      0.028729 
   9900.00488        0.9861      0.000000 
  10200.00488        0.9957      0.028644 
  10200.00488        0.9669      0.022391 
  10200.00488        0.9520      0.010883 
  10200.00488        0.9469      0.000000 
  10500.00488        0.9987      0.030672 
  10500.00488        0.9737      0.023651 
  10500.00488        0.9510      0.009331 
  10500.00488        0.9424      0.000000 
  10800.00488        0.9999      0.055282 
  10800.00488        0.9951      0.050366 
  10800.00488        0.9926      0.033600 
  10800.00488        0.9927      0.000000 
  11100.00488        0.9994      0.043087 
  11100.00488        1.0223      0.033824 
  11100.00488        1.0412      0.015798 
  11100.00488        1.0465      0.000000 
  11400.00488        0.9967      0.021861 
  11400.00488        1.0305      0.013383 
  11400.00488        1.0522      0.004407 
  11400.00488        1.0586      0.000000 
  11700.00488        0.9916      0.060385 
  11700.00488        1.0027      0.053078 
  11700.00488        1.0145      0.032893 
  11700.00488        1.0218      0.000000 
  12000.00488        0.9846      0.062624 
  12000.00488        0.9724      0.051162 
  12000.00488        0.9579      0.026352 
  12000.00488        0.9499      0.000000 
  12300.00488        0.9757      0.015211 
  12300.00488        0.9422      0.010997 
  12300.00488        0.9249      0.006720 
  12300.00488        0.9197      0.000000 
  12600.00488        0.9658      0.030129 
  12600.00488        0.9528      0.029868 
  12600.00488        0.9360      0.017645 
  12600.00488        0.9281      0.000000 
  12900.00488        0.9538      0.034688 
  12900.00488        0.9619      0.034199 
  12900.00488        0.9734      0.022366 
  12900.00488        0.9809      0.000000 
  13200.00488        0.9402      0.004923 
  13200.00488        0.9741      0.002362 
  13200.00488        0.9940      0.002023 
  13200.00488        0.9985      0.000000 
  13500.00488        0.9242      0.066898 
  13500.00488        0.9467      0.049358 
  13500.00488        0.9669      0.024575 
  13500.00488        0.9753      0.000000 
  13800.00488        0.9063      0.082884 
  13800.00488        0.9058      0.068787 
  13800.00488        0.9025      0.041564 
