%
%
% Run:001   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
    300.00500        0.0427      0.059487 
    300.00500        0.0000      0.000064 
    300.00500        0.0000      0.000000 
    300.00500        0.0000      0.000000 
    600.00500        0.0861      0.120119 
    600.00500        0.0149      0.020775 
    600.00500        0.0000      0.000005 
    600.00500        0.0000      0.000000 
    900.00500        0.1295      0.180289 
    900.00500        0.0611      0.085357 
    900.00500        0.0017      0.002366 
    900.00500        0.0000      0.000000 
   1200.00500        0.1726      0.239852 
   1200.00500        0.1065      0.148467 
   1200.00500        0.0361      0.050500 
   1200.00500        0.0003      0.000000 
   1500.00500        0.2154      0.298704 
   1500.00500        0.1501      0.208787 
   1500.00500        0.0815      0.113735 
   1500.00500        0.0186      0.000000 
   1800.00500        0.2578      0.356748 
   1800.00500        0.1942      0.269655 
   1800.00500        0.1287      0.175277 
   1800.00500        0.1163      0.000000 
   2100.00488        0.2997      0.413889 
   2100.00488        0.2376      0.328716 
   2100.00488        0.1977      0.203597 
   2100.00488        0.2070      0.000000 
   2400.00488        0.3411      0.469988 
   2400.00488        0.2863      0.379097 
   2400.00488        0.2941      0.192459 
   2400.00488        0.2991      0.000000 
   2700.00488        0.3819      0.522582 
   2700.00488        0.3701      0.380541 
   2700.00488        0.3862      0.188116 
   2700.00488        0.3903      0.000000 
   3000.00488        0.4232      0.537560 
   3000.00488        0.4615      0.369437 
   3000.00488        0.4767      0.183322 
   3000.00488        0.4804      0.000000 
   3300.00488        0.4635      0.448363 
   3300.00488        0.5472      0.351064 
   3300.00488        0.5662      0.178509 
   3300.00488        0.5711      0.000000 
   3600.00488        0.5015      0.370104 
   3600.00488        0.5999      0.292466 
   3600.00488        0.6534      0.171696 
   3600.00488        0.6595      0.000000 
   3900.00488        0.5386      0.285658 
   3900.00488        0.6306      0.207188 
   3900.00488        0.7224      0.141732 
   3900.00488        0.7464      0.000000 
   4200.00488        0.5749      0.202813 
   4200.00488        0.6660      0.130056 
   4200.00488        0.7522      0.062775 
   4200.00488        0.8175      0.000000 
   4500.00488        0.6101      0.121302 
   4500.00488        0.7003      0.053413 
   4500.00488        0.7837      0.004745 
   4500.00488        0.8217      0.000000 
   4800.00488        0.6442      0.040723 
   4800.00488        0.7321      0.022297 
   4800.00488        0.7916      0.051283 
   4800.00488        0.7860      0.000000 
   5100.00488        0.6769      0.038647 
   5100.00488        0.7536      0.085539 
   5100.00488        0.7631      0.047586 
   5100.00488        0.7654      0.000000 
   5400.00488        0.7080      0.108909 
   5400.00488        0.7405      0.104057 
   5400.00488        0.7395      0.050620 
   5400.00488        0.7409      0.000000 
   5700.00488        0.7366      0.122679 
   5700.00488        0.7093      0.097656 
   5700.00488        0.7122      0.049787 
   5700.00488        0.7141      0.000000 
   6000.00488        0.7645      0.043768 
   6000.00488        0.6953      0.091330 
   6000.00488        0.6869      0.051772 
   6000.00488        0.6874      0.000000 
   6300.00488        0.7924      0.021317 
   6300.00488        0.7103      0.037648 
   6300.00488        0.6636      0.049016 
   6300.00488        0.6607      0.000000 
   6600.00488        0.8180      0.089641 
   6600.00488        0.7445      0.042164 
   6600.00488        0.6589      0.020137 
   6600.00488        0.6354      0.000000 
   6900.00488        0.8423      0.150729 
   6900.00488        0.7673      0.105642 
   6900.00488        0.6904      0.056162 
   6900.00488        0.6273      0.000000 
   7200.00488        0.8650      0.214513 
   7200.00488        0.7936      0.174127 
   7200.00488        0.7209      0.122861 
   7200.00488        0.6828      0.000000 
   7500.00488        0.8860      0.276463 
   7500.00488        0.8178      0.237871 
   7500.00488        0.7690      0.163086 
   7500.00488        0.7821      0.000000 
   7800.00488        0.9053      0.335288 
   7800.00488        0.8486      0.288057 
   7800.00488        0.8512      0.151445 
   7800.00488        0.8551      0.000000 
   8100.00488        0.9233      0.384075 
   8100.00488        0.9090      0.296841 
   8100.00488        0.9313      0.143449 
   8100.00488        0.9370      0.000000 
   8400.00488        0.9404      0.386685 
   8400.00488        0.9923      0.269469 
   8400.00488        1.0068      0.136995 
   8400.00488        1.0119      0.000000 
   8700.00488        0.9559      0.291959 
   8700.00488        1.0500      0.246280 
   8700.00488        1.0777      0.129991 
   8700.00488        1.0830      0.000000 
   9000.00488        0.9672      0.186227 
   9000.00488        1.0797      0.175414 
   9000.00488        1.1424      0.114601 
   9000.00488        1.1522      0.000000 
   9300.00488        0.9781      0.096808 
   9300.00488        1.0776      0.076298 
   9300.00488        1.1813      0.073210 
   9300.00488        1.2139      0.000000 
   9600.00488        0.9862      0.005140 
   9600.00488        1.0870      0.005032 
   9600.00488        1.1806      0.010728 
   9600.00488        1.2458      0.000000 
   9900.00488        0.9929      0.086443 
   9900.00488        1.0888      0.092399 
   9900.00488        1.1714      0.083848 
   9900.00488        1.2077      0.000000 
  10200.00488        0.9977      0.172225 
  10200.00488        1.0886      0.168519 
  10200.00488        1.1396      0.117293 
  10200.00488        1.1292      0.000000 
  10500.00488        1.0003      0.252126 
  10500.00488        1.0681      0.222843 
  10500.00488        1.0726      0.112171 
  10500.00488        1.0761      0.000000 
  10800.00488        1.0004      0.306220 
  10800.00488        1.0125      0.231699 
  10800.00488        1.0096      0.112007 
  10800.00488        1.0106      0.000000 
  11100.00488        0.9979      0.285407 
  11100.00488        0.9484      0.218112 
  11100.00488        0.9509      0.114112 
  11100.00488        0.9522      0.000000 
  11400.00488        0.9946      0.194875 
  11400.00488        0.9137      0.197056 
  11400.00488        0.8909      0.112233 
  11400.00488        0.8901      0.000000 
  11700.00488        0.9906      0.125615 
  11700.00488        0.9050      0.125560 
  11700.00488        0.8405      0.099212 
  11700.00488        0.8302      0.000000 
  12000.00488        0.9835      0.061424 
  12000.00488        0.9099      0.046060 
  12000.00488        0.8179      0.052414 
  12000.00488        0.7797      0.000000 
  12300.00488        0.9753      0.005076 
  12300.00488        0.8991      0.018552 
  12300.00488        0.8235      0.028556 
  12300.00488        0.7631      0.000000 
  12600.00488        0.9648      0.067610 
  12600.00488        0.8945      0.087179 
  12600.00488        0.8302      0.085858 
  12600.00488        0.8106      0.000000 
  12900.00488        0.9528      0.126209 
  12900.00488        0.8889      0.142517 
  12900.00488        0.8596      0.103634 
  12900.00488        0.8781      0.000000 
  13200.00488        0.9390      0.179512 
  13200.00488        0.9004      0.176929 
  13200.00488        0.9165      0.086876 
  13200.00488        0.9176      0.000000 
  13500.00488        0.9238      0.205618 
  13500.00488        0.9398      0.165028 
  13500.00488        0.9613      0.078293 
  13500.00488        0.9669      0.000000 
  13800.00488        0.9078      0.164409 
  13800.00488        0.9831      0.131436 
  13800.00488        0.9997      0.071719 
