%
%
% Run:007   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
    300.00500        0.0399      0.039320 
    300.00500        0.0000      0.000000 
    300.00500        0.0000      0.000000 
    300.00500        0.0000      0.000000 
    600.00500        0.0835      0.082597 
    600.00500        0.0000      0.000000 
    600.00500        0.0000      0.000000 
    600.00500        0.0000      0.000000 
    900.00500        0.1269      0.125293 
    900.00500        0.0000      0.000000 
    900.00500        0.0000      0.000000 
    900.00500        0.0000      0.000000 
   1200.00500        0.1700      0.167722 
   1200.00500        0.0000      0.000003 
   1200.00500        0.0000      0.000000 
   1200.00500        0.0000      0.000000 
   1500.00500        0.2129      0.209757 
   1500.00500        0.0005      0.000460 
   1500.00500        0.0000      0.000000 
   1500.00500        0.0000      0.000000 
   1800.00500        0.2553      0.251281 
   1800.00500        0.0125      0.012226 
   1800.00500        0.0000      0.000000 
   1800.00500        0.0000      0.000000 
   2100.00488        0.2973      0.292264 
   2100.00488        0.0604      0.059841 
   2100.00488        0.0000      0.000000 
   2100.00488        0.0000      0.000000 
   2400.00488        0.3386      0.332603 
   2400.00488        0.1035      0.102267 
   2400.00488        0.0000      0.000000 
   2400.00488        0.0000      0.000000 
   2700.00488        0.3793      0.372237 
   2700.00488        0.1486      0.146610 
   2700.00488        0.0000      0.000002 
   2700.00488        0.0000      0.000000 
   3000.00488        0.4194      0.411093 
   3000.00488        0.1933      0.190562 
   3000.00488        0.0002      0.000144 
   3000.00488        0.0000      0.000000 
   3300.00488        0.4586      0.449101 
   3300.00488        0.2375      0.233863 
   3300.00488        0.0034      0.003310 
   3300.00488        0.0000      0.000000 
   3600.00488        0.4969      0.486194 
   3600.00488        0.2811      0.276552 
   3600.00488        0.0282      0.027744 
   3600.00488        0.0000      0.000000 
   3900.00488        0.5343      0.522306 
   3900.00488        0.3241      0.318591 
   3900.00488        0.0817      0.080915 
   3900.00488        0.0000      0.000000 
   4200.00488        0.5706      0.557375 
   4200.00488        0.3664      0.359827 
   4200.00488        0.1253      0.123674 
   4200.00488        0.0000      0.000000 
   4500.00488        0.6059      0.591338 
   4500.00488        0.4079      0.400107 
   4500.00488        0.1727      0.170366 
   4500.00488        0.0001      0.000000 
   4800.00488        0.6401      0.624138 
   4800.00488        0.4484      0.439440 
   4800.00488        0.2191      0.215957 
   4800.00488        0.0019      0.000000 
   5100.00488        0.6730      0.655717 
   5100.00488        0.4881      0.477855 
   5100.00488        0.2643      0.260198 
   5100.00488        0.0202      0.000000 
   5400.00488        0.7046      0.686020 
   5400.00488        0.5268      0.515210 
   5400.00488        0.3088      0.303668 
   5400.00488        0.0971      0.000000 
   5700.00488        0.7349      0.714997 
   5700.00488        0.5643      0.551401 
   5700.00488        0.3526      0.346402 
   5700.00488        0.2089      0.000000 
   6000.00488        0.7638      0.742598 
   6000.00488        0.6006      0.586419 
   6000.00488        0.3957      0.388259 
   6000.00488        0.2988      0.000000 
   6300.00488        0.7912      0.768775 
   6300.00488        0.6358      0.620187 
   6300.00488        0.4381      0.428890 
   6300.00488        0.3972      0.000000 
   6600.00488        0.8171      0.793484 
   6600.00488        0.6696      0.652637 
   6600.00488        0.4820      0.465930 
   6600.00488        0.4936      0.000000 
   6900.00488        0.8415      0.816684 
   6900.00488        0.7020      0.683729 
   6900.00488        0.5390      0.488162 
   6900.00488        0.5861      0.000000 
   7200.00488        0.8643      0.838336 
   7200.00488        0.7330      0.713403 
   7200.00488        0.6266      0.478447 
   7200.00488        0.6777      0.000000 
   7500.00488        0.8854      0.858403 
   7500.00488        0.7626      0.741611 
   7500.00488        0.7211      0.459889 
   7500.00488        0.7682      0.000000 
   7800.00488        0.9048      0.876853 
   7800.00488        0.7906      0.768257 
   7800.00488        0.8051      0.449185 
   7800.00488        0.8569      0.000000 
   8100.00488        0.9225      0.893653 
   8100.00488        0.8177      0.792732 
   8100.00488        0.8917      0.433244 
   8100.00488        0.9434      0.000000 
   8400.00488        0.9385      0.908777 
   8400.00488        0.8478      0.811276 
   8400.00488        0.9749      0.417970 
   8400.00488        1.0275      0.000000 
   8700.00488        0.9526      0.922199 
   8700.00488        0.8943      0.811187 
   8700.00488        1.0550      0.402859 
   8700.00488        1.1091      0.000000 
   9000.00488        0.9650      0.933896 
   9000.00488        0.9698      0.780085 
   9000.00488        1.1335      0.386402 
   9000.00488        1.1880      0.000000 
   9300.00488        0.9755      0.943831 
   9300.00488        1.0485      0.742856 
   9300.00488        1.2094      0.369468 
   9300.00488        1.2641      0.000000 
   9600.00488        0.9842      0.951776 
   9600.00488        1.1164      0.712716 
   9600.00488        1.2821      0.352377 
   9600.00488        1.3373      0.000000 
   9900.00488        0.9914      0.956006 
   9900.00488        1.1867      0.676892 
   9900.00488        1.3519      0.335027 
   9900.00488        1.4074      0.000000 
  10200.00488        0.9980      0.947820 
  10200.00488        1.2519      0.642656 
  10200.00488        1.4186      0.317360 
  10200.00488        1.4743      0.000000 
  10500.00488        1.0054      0.902625 
  10500.00488        1.3148      0.607168 
  10500.00488        1.4820      0.299416 
  10500.00488        1.5379      0.000000 
  10800.00488        1.0106      0.798812 
  10800.00488        1.3750      0.570775 
  10800.00488        1.5422      0.281249 
  10800.00488        1.5979      0.000000 
  11100.00488        1.0079      0.679909 
  11100.00488        1.4315      0.534198 
  11100.00488        1.5989      0.262902 
  11100.00488        1.6545      0.000000 
  11400.00488        1.0053      0.578796 
  11400.00488        1.4836      0.496247 
  11400.00488        1.6520      0.244418 
  11400.00488        1.7075      0.000000 
  11700.00488        1.0005      0.468288 
  11700.00488        1.5268      0.452797 
  11700.00488        1.7016      0.225834 
  11700.00488        1.7568      0.000000 
  12000.00488        0.9940      0.363227 
  12000.00488        1.5493      0.393153 
  12000.00488        1.7474      0.207178 
  12000.00488        1.8024      0.000000 
  12300.00488        0.9851      0.256529 
  12300.00488        1.5406      0.307923 
  12300.00488        1.7895      0.188468 
  12300.00488        1.8442      0.000000 
  12600.00488        0.9748      0.151448 
  12600.00488        1.5169      0.212176 
  12600.00488        1.8276      0.169608 
  12600.00488        1.8821      0.000000 
  12900.00488        0.9625      0.047973 
  12900.00488        1.5010      0.127108 
  12900.00488        1.8608      0.149759 
  12900.00488        1.9162      0.000000 
  13200.00488        0.9483      0.054242 
  13200.00488        1.4794      0.040171 
  13200.00488        1.8847      0.125141 
  13200.00488        1.9464      0.000000 
  13500.00488        0.9323      0.154725 
  13500.00488        1.4556      0.045268 
  13500.00488        1.8890      0.086268 
  13500.00488        1.9726      0.000000 
  13800.00488        0.9146      0.253285 
  13800.00488        1.4294      0.129230 
  13800.00488        1.8643      0.024569 
