%
%
% Run:002   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
    300.00500        0.0430      0.030045 
    300.00500        0.0069      0.004839 
    300.00500        0.0000      0.000033 
    300.00500        0.0000      0.000000 
    600.00500        0.0866      0.060637 
    600.00500        0.0517      0.036211 
    600.00500        0.0152      0.010643 
    600.00500        0.0009      0.000000 
    900.00500        0.1300      0.090948 
    900.00500        0.0961      0.067193 
    900.00500        0.0625      0.041315 
    900.00500        0.0501      0.000000 
   1200.00500        0.1732      0.120818 
   1200.00500        0.1439      0.094356 
   1200.00500        0.1410      0.048876 
   1200.00500        0.1401      0.000000 
   1500.00500        0.2165      0.138468 
   1500.00500        0.2279      0.095079 
   1500.00500        0.2281      0.048212 
   1500.00500        0.2293      0.000000 
   1800.00500        0.2594      0.103491 
   1800.00500        0.2989      0.084223 
   1800.00500        0.3147      0.046622 
   1800.00500        0.3164      0.000000 
   2100.00488        0.3014      0.072600 
   2100.00488        0.3368      0.049007 
   2100.00488        0.3776      0.029701 
   2100.00488        0.3962      0.000000 
   2400.00488        0.3426      0.040109 
   2400.00488        0.3784      0.017776 
   2400.00488        0.4079      0.000088 
   2400.00488        0.4177      0.000000 
   2700.00488        0.3831      0.009156 
   2700.00488        0.4077      0.006063 
   2700.00488        0.4082      0.003713 
   2700.00488        0.4086      0.000000 
   3000.00488        0.4223      0.001029 
   3000.00488        0.4034      0.004071 
   3000.00488        0.4033      0.003730 
   3000.00488        0.4019      0.000000 
   3300.00488        0.4612      0.037930 
   3300.00488        0.4239      0.011029 
   3300.00488        0.4013      0.000265 
   3300.00488        0.3971      0.000000 
   3600.00488        0.4994      0.064478 
   3600.00488        0.4675      0.046082 
   3600.00488        0.4281      0.021536 
   3600.00488        0.4069      0.000000 
   3900.00488        0.5368      0.094557 
   3900.00488        0.5048      0.073904 
   3900.00488        0.4834      0.046573 
   3900.00488        0.4804      0.000000 
   4200.00488        0.5733      0.119544 
   4200.00488        0.5599      0.090473 
   4200.00488        0.5664      0.044515 
   4200.00488        0.5667      0.000000 
   4500.00488        0.6094      0.113371 
   4500.00488        0.6403      0.081414 
   4500.00488        0.6455      0.043208 
   4500.00488        0.6491      0.000000 
   4800.00488        0.6434      0.070368 
   4800.00488        0.6846      0.058317 
   4800.00488        0.7169      0.034785 
   4800.00488        0.7248      0.000000 
   5100.00488        0.6762      0.040049 
   5100.00488        0.7126      0.020430 
   5100.00488        0.7514      0.007841 
   5100.00488        0.7732      0.000000 
   5400.00488        0.7076      0.005870 
   5400.00488        0.7412      0.008091 
   5400.00488        0.7577      0.011943 
   5400.00488        0.7557      0.000000 
   5700.00488        0.7374      0.017729 
   5700.00488        0.7436      0.020478 
   5700.00488        0.7368      0.008567 
   5700.00488        0.7387      0.000000 
   6000.00488        0.7654      0.002234 
   6000.00488        0.7308      0.009246 
   6000.00488        0.7243      0.008403 
   6000.00488        0.7199      0.000000 
   6300.00488        0.7929      0.035827 
   6300.00488        0.7572      0.016473 
   6300.00488        0.7214      0.003370 
   6300.00488        0.7110      0.000000 
   6600.00488        0.8186      0.061623 
   6600.00488        0.7867      0.049882 
   6600.00488        0.7563      0.030756 
   6600.00488        0.7385      0.000000 
   6900.00488        0.8431      0.089521 
   6900.00488        0.8196      0.072099 
   6900.00488        0.8132      0.041058 
   6900.00488        0.8205      0.000000 
   7200.00488        0.8662      0.099712 
   7200.00488        0.8777      0.073484 
   7200.00488        0.8895      0.035159 
   7200.00488        0.8869      0.000000 
   7500.00488        0.8878      0.067633 
   7500.00488        0.9329      0.053984 
   7500.00488        0.9482      0.032049 
   7500.00488        0.9559      0.000000 
   7800.00488        0.9068      0.026340 
   7800.00488        0.9462      0.020239 
   7800.00488        0.9887      0.013164 
   7800.00488        1.0033      0.000000 
   8100.00488        0.9245      0.005475 
   8100.00488        0.9606      0.014107 
   8100.00488        0.9872      0.015000 
   8100.00488        1.0009      0.000000 
   8400.00488        0.9400      0.035063 
   8400.00488        0.9600      0.035393 
   8400.00488        0.9632      0.019449 
   8400.00488        0.9558      0.000000 
   8700.00488        0.9534      0.039028 
   8700.00488        0.9341      0.032166 
   8700.00488        0.9243      0.016052 
   8700.00488        0.9287      0.000000 
   9000.00488        0.9652      0.003587 
   9000.00488        0.9239      0.011741 
   9000.00488        0.9044      0.011751 
   9000.00488        0.8947      0.000000 
   9300.00488        0.9759      0.027686 
   9300.00488        0.9443      0.021071 
   9300.00488        0.9053      0.010233 
   9300.00488        0.8895      0.000000 
   9600.00488        0.9843      0.053937 
   9600.00488        0.9569      0.047263 
   9600.00488        0.9417      0.032448 
   9600.00488        0.9358      0.000000 
   9900.00488        0.9914      0.071195 
   9900.00488        0.9881      0.058856 
   9900.00488        0.9940      0.028604 
   9900.00488        1.0017      0.000000 
  10200.00488        0.9968      0.057290 
  10200.00488        1.0325      0.043933 
  10200.00488        1.0482      0.024151 
  10200.00488        1.0463      0.000000 
  10500.00488        0.9998      0.011361 
  10500.00488        1.0458      0.015530 
  10500.00488        1.0764      0.013042 
  10500.00488        1.0905      0.000000 
  10800.00488        1.0005      0.022061 
  10800.00488        1.0360      0.022154 
  10800.00488        1.0744      0.013843 
  10800.00488        1.0914      0.000000 
  11100.00488        0.9996      0.054108 
  11100.00488        1.0274      0.047092 
  11100.00488        1.0382      0.031392 
  11100.00488        1.0387      0.000000 
  11400.00488        0.9961      0.067887 
  11400.00488        0.9923      0.055660 
  11400.00488        0.9858      0.025626 
  11400.00488        0.9819      0.000000 
  11700.00488        0.9908      0.047862 
  11700.00488        0.9536      0.037930 
  11700.00488        0.9379      0.023449 
  11700.00488        0.9378      0.000000 
  12000.00488        0.9843      0.008238 
  12000.00488        0.9475      0.010274 
  12000.00488        0.9143      0.008704 
  12000.00488        0.8990      0.000000 
  12300.00488        0.9759      0.015853 
  12300.00488        0.9484      0.021573 
  12300.00488        0.9210      0.016456 
  12300.00488        0.9074      0.000000 
  12600.00488        0.9656      0.039328 
  12600.00488        0.9511      0.036790 
  12600.00488        0.9509      0.024146 
  12600.00488        0.9571      0.000000 
  12900.00488        0.9541      0.036888 
  12900.00488        0.9754      0.033832 
  12900.00488        0.9893      0.014666 
  12900.00488        0.9917      0.000000 
  13200.00488        0.9405      0.001866 
  13200.00488        0.9871      0.006914 
  13200.00488        1.0103      0.009196 
  13200.00488        1.0162      0.000000 
  13500.00488        0.9244      0.040982 
  13500.00488        0.9631      0.026707 
  13500.00488        1.0024      0.012445 
  13500.00488        1.0195      0.000000 
  13800.00488        0.9068      0.069058 
  13800.00488        0.9372      0.058900 
  13800.00488        0.9587      0.036569 
