%
%
% Run:009   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
  12900.00488        0.8521      0.002500 
  12900.00488        0.8218      0.000000 
  13200.00488        0.9390      0.028090 
  13200.00488        0.8929      0.037250 
  13200.00488        0.8629      0.038826 
  13200.00488        0.8501      0.000000 
  13500.00488        0.9233      0.062147 
  13500.00488        0.8946      0.068543 
  13500.00488        0.8880      0.040117 
  13500.00488        0.9011      0.000000 
  13800.00488        0.9064      0.079096 
  13800.00488        0.9146      0.069279 
  13800.00488        0.9315      0.031542 
  13800.00488        0.9286      0.000000 
  14100.00488        0.8880      0.047459 
  14100.00488        0.9431      0.045676 
  14100.00488        0.9567      0.028140 
  14100.00488        0.9624      0.000000 
  14400.00488        0.8672      0.022866 
  14400.00488        0.9344      0.008526 
  14400.00488        0.9760      0.015470 
  14400.00488        0.9852      0.000000 
  14700.00488        0.8442      0.075637 
  14700.00488        0.9037      0.050221 
  14700.00488        0.9662      0.016847 
  14700.00488        0.9930      0.000000 
  15000.00488        0.8202      0.126917 
  15000.00488        0.8766      0.100892 
  15000.00488        0.9259      0.063715 
  15000.00488        0.9533      0.000000 
  15300.00488        0.7941      0.178556 
  15300.00488        0.8438      0.141813 
  15300.00488        0.8669      0.086155 
  15300.00488        0.8668      0.000000 
  15600.00488        0.7665      0.215289 
  15600.00488        0.7873      0.165712 
  15600.00488        0.7883      0.081844 
  15600.00488        0.7820      0.000000 
  15900.00488        0.7369      0.217389 
  15900.00488        0.7142      0.159198 
  15900.00488        0.7040      0.079587 
  15900.00488        0.7095      0.000000 
  16200.00488        0.7061      0.173102 
  16200.00488        0.6516      0.134831 
  16200.00488        0.6351      0.077360 
  16200.00488        0.6279      0.000000 
  16500.00586        0.6749      0.117520 
  16500.00586        0.6222      0.095459 
  16500.00586        0.5737      0.058636 
  16500.00586        0.5607      0.000000 
  16800.00586        0.6422      0.081796 
  16800.00586        0.5963      0.043471 
  16800.00586        0.5434      0.022153 
  16800.00586        0.5148      0.000000 
  17100.00586        0.6080      0.038866 
  17100.00586        0.5644      0.007282 
  17100.00586        0.5332      0.015407 
  17100.00586        0.5182      0.000000 
  17400.00586        0.5732      0.004087 
  17400.00586        0.5433      0.022235 
  17400.00586        0.5363      0.019611 
  17400.00586        0.5468      0.000000 
  17700.00586        0.5373      0.012831 
  17700.00586        0.5420      0.026813 
  17700.00586        0.5546      0.010162 
  17700.00586        0.5567      0.000000 
  18000.00586        0.5008      0.011462 
  18000.00586        0.5471      0.005732 
  18000.00586        0.5637      0.006492 
  18000.00586        0.5639      0.000000 
  18300.00586        0.4629      0.072837 
  18300.00586        0.5271      0.028927 
  18300.00586        0.5589      0.003603 
  18300.00586        0.5708      0.000000 
  18600.00586        0.4234      0.129304 
  18600.00586        0.4801      0.078593 
  18600.00586        0.5379      0.031849 
  18600.00586        0.5572      0.000000 
  18900.00586        0.3835      0.171306 
  18900.00586        0.4349      0.131293 
  18900.00586        0.4845      0.072010 
  18900.00586        0.5120      0.000000 
  19200.00586        0.3428      0.220538 
  19200.00586        0.3889      0.166338 
  19200.00586        0.4138      0.101198 
  19200.00586        0.4207      0.000000 
  19500.00586        0.3011      0.253316 
  19500.00586        0.3253      0.192581 
  19500.00586        0.3291      0.098674 
  19500.00586        0.3196      0.000000 
  19800.00586        0.2586      0.262096 
  19800.00586        0.2448      0.189801 
  19800.00586        0.2341      0.092860 
  19800.00586        0.2368      0.000000 
  20100.00586        0.2156      0.226725 
  20100.00586        0.1672      0.167480 
  20100.00586        0.1524      0.090807 
  20100.00586        0.1499      0.000000 
  20400.00586        0.1727      0.170995 
  20400.00586        0.1180      0.132162 
  20400.00586        0.0813      0.077450 
  20400.00586        0.0686      0.000000 
  20700.00586        0.1300      0.127833 
  20700.00586        0.0835      0.084934 
  20700.00586        0.0301      0.046296 
  20700.00586        0.0088      0.000000 
  21000.00586        0.0864      0.091477 
  21000.00586        0.0435      0.041471 
  21000.00586        0.0053      0.009484 
  21000.00586       -0.0169      0.000000 
  21300.00586        0.0431      0.050466 
  21300.00586        0.0076      0.013458 
  21300.00586       -0.0070      0.009240 
  21300.00586       -0.0061      0.000000 
  21600.00586       -0.0002      0.027692 
