%
%
% Run:005   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev        Vmag     
%       [s]           [m]           [m/s]    
%
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
      0.00500        0.0000      0.000000 
    300.00500        0.0429      0.042246 
    300.00500        0.0010      0.000980 
    300.00500        0.0000      0.000000 
    300.00500        0.0000      0.000000 
    600.00500        0.0864      0.085248 
    600.00500        0.0390      0.038644 
    600.00500        0.0008      0.000796 
    600.00500        0.0000      0.000000 
    900.00500        0.1298      0.127756 
    900.00500        0.0811      0.080039 
    900.00500        0.0326      0.032235 
    900.00500        0.0012      0.000000 
   1200.00500        0.1729      0.169558 
   1200.00500        0.1253      0.123418 
   1200.00500        0.0773      0.075441 
   1200.00500        0.0496      0.000000 
   1500.00500        0.2157      0.210548 
   1500.00500        0.1681      0.164229 
   1500.00500        0.1390      0.100959 
   1500.00500        0.1409      0.000000 
   1800.00500        0.2581      0.250167 
   1800.00500        0.2236      0.192769 
   1800.00500        0.2299      0.094011 
   1800.00500        0.2295      0.000000 
   2100.00488        0.3008      0.272382 
   2100.00488        0.3157      0.184436 
   2100.00488        0.3177      0.093166 
   2100.00488        0.3183      0.000000 
   2400.00488        0.3430      0.220314 
   2400.00488        0.3939      0.175783 
   2400.00488        0.4023      0.091202 
   2400.00488        0.4048      0.000000 
   2700.00488        0.3837      0.177496 
   2700.00488        0.4362      0.131400 
   2700.00488        0.4819      0.084920 
   2700.00488        0.4883      0.000000 
   3000.00488        0.4235      0.130336 
   3000.00488        0.4777      0.087056 
   3000.00488        0.5284      0.045600 
   3000.00488        0.5651      0.000000 
   3300.00488        0.4626      0.083034 
   3300.00488        0.5152      0.041043 
   3300.00488        0.5627      0.003745 
   3300.00488        0.5783      0.000000 
   3600.00488        0.5009      0.035477 
   3600.00488        0.5499      0.001371 
   3600.00488        0.5683      0.012519 
   3600.00488        0.5647      0.000000 
   3900.00488        0.5379      0.008203 
   3900.00488        0.5617      0.021825 
   3900.00488        0.5552      0.007793 
   3900.00488        0.5561      0.000000 
   4200.00488        0.5728      0.011503 
   4200.00488        0.5467      0.014533 
   4200.00488        0.5480      0.009374 
   4200.00488        0.5486      0.000000 
   4500.00488        0.6080      0.044504 
   4500.00488        0.5582      0.002650 
   4500.00488        0.5412      0.010418 
   4500.00488        0.5402      0.000000 
   4800.00488        0.6421      0.074834 
   4800.00488        0.5993      0.044100 
   4800.00488        0.5463      0.003199 
   4800.00488        0.5319      0.000000 
   5100.00488        0.6750      0.117632 
   5100.00488        0.6284      0.082541 
   5100.00488        0.5853      0.050481 
   5100.00488        0.5448      0.000000 
   5400.00488        0.7066      0.157522 
   5400.00488        0.6631      0.125181 
   5400.00488        0.6259      0.079657 
   5400.00488        0.6263      0.000000 
   5700.00488        0.7365      0.194360 
   5700.00488        0.7017      0.155690 
   5700.00488        0.7027      0.080986 
   5700.00488        0.7040      0.000000 
   6000.00488        0.7659      0.218132 
   6000.00488        0.7701      0.156053 
   6000.00488        0.7792      0.075829 
   6000.00488        0.7833      0.000000 
   6300.00488        0.7943      0.187813 
   6300.00488        0.8427      0.138888 
   6300.00488        0.8502      0.072332 
   6300.00488        0.8513      0.000000 
   6600.00488        0.8199      0.122662 
   6600.00488        0.8801      0.107048 
   6600.00488        0.9146      0.066484 
   6600.00488        0.9209      0.000000 
   6900.00488        0.8444      0.081955 
   6900.00488        0.8937      0.051953 
   6900.00488        0.9563      0.036325 
   6900.00488        0.9834      0.000000 
   7200.00488        0.8667      0.029819 
   7200.00488        0.9231      0.009270 
   7200.00488        0.9649      0.014236 
   7200.00488        0.9969      0.000000 
   7500.00488        0.8879      0.021163 
   7500.00488        0.9385      0.037420 
   7500.00488        0.9674      0.031048 
   7500.00488        0.9547      0.000000 
   7800.00488        0.9069      0.062286 
   7800.00488        0.9355      0.062160 
   7800.00488        0.9289      0.028643 
   7800.00488        0.9363      0.000000 
   8100.00488        0.9237      0.071708 
   8100.00488        0.9025      0.054723 
   8100.00488        0.9051      0.030512 
   8100.00488        0.9015      0.000000 
   8400.00488        0.9389      0.023819 
   8400.00488        0.8915      0.043539 
   8400.00488        0.8766      0.027571 
   8400.00488        0.8770      0.000000 
   8700.00488        0.9532      0.016684 
   8700.00488        0.9071      0.000016 
   8700.00488        0.8621      0.017308 
   8700.00488        0.8484      0.000000 
   9000.00488        0.9650      0.052368 
   9000.00488        0.9251      0.040966 
   9000.00488        0.8745      0.023008 
   9000.00488        0.8401      0.000000 
   9300.00488        0.9759      0.086558 
   9300.00488        0.9319      0.077019 
   9300.00488        0.9010      0.059615 
   9300.00488        0.8917      0.000000 
   9600.00488        0.9842      0.126051 
   9600.00488        0.9517      0.107469 
   9600.00488        0.9469      0.058195 
   9600.00488        0.9625      0.000000 
   9900.00488        0.9913      0.143366 
   9900.00488        0.9976      0.108872 
   9900.00488        1.0110      0.048555 
   9900.00488        1.0039      0.000000 
  10200.00488        0.9971      0.113674 
  10200.00488        1.0482      0.085730 
  10200.00488        1.0551      0.050181 
  10200.00488        1.0613      0.000000 
  10500.00488        1.0003      0.045560 
  10500.00488        1.0604      0.058619 
  10500.00488        1.0996      0.036620 
  10500.00488        1.1066      0.000000 
  10800.00488        1.0008      0.005640 
  10800.00488        1.0549      0.001123 
  10800.00488        1.1134      0.010742 
  10800.00488        1.1369      0.000000 
  11100.00488        1.0000      0.048340 
  11100.00488        1.0543      0.041132 
  11100.00488        1.0982      0.037017 
  11100.00488        1.1301      0.000000 
  11400.00488        0.9969      0.090190 
  11400.00488        1.0452      0.085526 
  11400.00488        1.0736      0.057481 
  11400.00488        1.0650      0.000000 
  11700.00488        0.9919      0.133866 
  11700.00488        1.0196      0.108365 
  11700.00488        1.0131      0.051872 
  11700.00488        1.0118      0.000000 
  12000.00488        0.9847      0.142097 
  12000.00488        0.9625      0.103872 
  12000.00488        0.9612      0.050467 
  12000.00488        0.9633      0.000000 
  12300.00488        0.9753      0.093266 
  12300.00488        0.9259      0.084947 
  12300.00488        0.9123      0.053631 
  12300.00488        0.9098      0.000000 
  12600.00488        0.9655      0.048412 
  12600.00488        0.9226      0.048424 
  12600.00488        0.8744      0.036064 
  12600.00488        0.8597      0.000000 
  12900.00488        0.9531      0.024724 
  12900.00488        0.9142      0.003503 
  12900.00488        0.8656      0.000655 
  12900.00488        0.8386      0.000000 
  13200.00488        0.9390      0.019170 
  13200.00488        0.8984      0.025677 
  13200.00488        0.8737      0.033052 
  13200.00488        0.8604      0.000000 
  13500.00488        0.9235      0.046230 
  13500.00488        0.8987      0.056762 
  13500.00488        0.8896      0.031980 
  13500.00488        0.9068      0.000000 
  13800.00488        0.9065      0.063977 
  13800.00488        0.9112      0.056169 
  13800.00488        0.9316      0.023512 
