%
%
% Run:001   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev   
%       [s]           [m]      
%
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
      0.00500        0.0000 
    300.00500        0.0422 
    300.00500        0.0113 
    300.00500        0.0030 
    300.00500        0.0008 
    300.00500        0.0002 
    300.00500        0.0001 
    600.00500        0.0870 
    600.00500        0.0527 
    600.00500        0.0219 
    600.00500        0.0080 
    600.00500        0.0030 
    600.00500        0.0017 
    900.00500        0.1293 
    900.00500        0.1050 
    900.00500        0.0676 
    900.00500        0.0347 
    900.00500        0.0169 
    900.00500        0.0117 
   1200.00500        0.1734 
   1200.00500        0.1436 
   1200.00500        0.1217 
   1200.00500        0.0875 
   1200.00500        0.0578 
   1200.00500        0.0469 
   1500.00500        0.2155 
   1500.00500        0.1900 
   1500.00500        0.1663 
   1500.00500        0.1520 
   1500.00500        0.1335 
   1500.00500        0.1243 
   1800.00500        0.2586 
   1800.00500        0.2418 
   1800.00500        0.2242 
   1800.00500        0.2197 
   1800.00500        0.2285 
   1800.00500        0.2328 
   2100.00488        0.3004 
   2100.00488        0.2968 
   2100.00488        0.3036 
   2100.00488        0.3079 
   2100.00488        0.3212 
   2100.00488        0.3310 
   2400.00488        0.3426 
   2400.00488        0.3657 
   2400.00488        0.3850 
   2400.00488        0.4061 
   2400.00488        0.4069 
   2400.00488        0.4038 
   2700.00488        0.3838 
   2700.00488        0.4263 
   2700.00488        0.4607 
   2700.00488        0.4771 
   2700.00488        0.4831 
   2700.00488        0.4799 
   3000.00488        0.4238 
   3000.00488        0.4713 
   3000.00488        0.5062 
   3000.00488        0.5252 
   3000.00488        0.5431 
   3000.00488        0.5559 
   3300.00488        0.4626 
   3300.00488        0.4939 
   3300.00488        0.5243 
   3300.00488        0.5611 
   3300.00488        0.5845 
   3300.00488        0.5926 
   3600.00488        0.5003 
   3600.00488        0.5168 
   3600.00488        0.5455 
   3600.00488        0.5735 
   3600.00488        0.5936 
   3600.00488        0.5945 
   3900.00488        0.5377 
   3900.00488        0.5538 
   3900.00488        0.5641 
   3900.00488        0.5689 
   3900.00488        0.5716 
   3900.00488        0.5793 
   4200.00488        0.5739 
   4200.00488        0.5801 
   4200.00488        0.5730 
   4200.00488        0.5596 
   4200.00488        0.5503 
   4200.00488        0.5462 
   4500.00488        0.6082 
   4500.00488        0.5891 
   4500.00488        0.5714 
   4500.00488        0.5550 
   4500.00488        0.5403 
   4500.00488        0.5288 
   4800.00488        0.6417 
   4800.00488        0.5992 
   4800.00488        0.5730 
   4800.00488        0.5571 
   4800.00488        0.5438 
   4800.00488        0.5454 
   5100.00488        0.6745 
   5100.00488        0.6357 
   5100.00488        0.5980 
   5100.00488        0.5734 
   5100.00488        0.5706 
   5100.00488        0.5691 
   5400.00488        0.7066 
   5400.00488        0.6786 
   5400.00488        0.6478 
   5400.00488        0.6251 
   5400.00488        0.6101 
   5400.00488        0.6030 
   5700.00488        0.7367 
   5700.00488        0.7219 
   5700.00488        0.7129 
   5700.00488        0.6951 
   5700.00488        0.6705 
   5700.00488        0.6647 
   6000.00488        0.7662 
   6000.00488        0.7690 
   6000.00488        0.7670 
   6000.00488        0.7613 
   6000.00488        0.7601 
   6000.00488        0.7544 
   6300.00488        0.7937 
   6300.00488        0.8083 
   6300.00488        0.8164 
   6300.00488        0.8324 
   6300.00488        0.8489 
   6300.00488        0.8583 
   6600.00488        0.8197 
   6600.00488        0.8419 
   6600.00488        0.8735 
   6600.00488        0.9013 
   6600.00488        0.9218 
   6600.00488        0.9322 
   6900.00488        0.8443 
   6900.00488        0.8837 
   6900.00488        0.9231 
   6900.00488        0.9540 
   6900.00488        0.9699 
   6900.00488        0.9690 
   7200.00488        0.8676 
   7200.00488        0.9213 
   7200.00488        0.9550 
   7200.00488        0.9768 
   7200.00488        0.9866 
   7200.00488        0.9930 
   7500.00488        0.8880 
   7500.00488        0.9260 
   7500.00488        0.9571 
   7500.00488        0.9735 
   7500.00488        0.9872 
   7500.00488        0.9928 
   7800.00488        0.9065 
   7800.00488        0.9174 
   7800.00488        0.9358 
   7800.00488        0.9570 
   7800.00488        0.9685 
   7800.00488        0.9697 
   8100.00488        0.9238 
   8100.00488        0.9170 
   8100.00488        0.9153 
   8100.00488        0.9236 
   8100.00488        0.9301 
   8100.00488        0.9341 
   8400.00488        0.9393 
   8400.00488        0.9260 
   8400.00488        0.9095 
   8400.00488        0.8912 
   8400.00488        0.8866 
   8400.00488        0.8859 
   8700.00488        0.9532 
   8700.00488        0.9310 
   8700.00488        0.9050 
   8700.00488        0.8781 
   8700.00488        0.8546 
   8700.00488        0.8462 
   9000.00488        0.9651 
   9000.00488        0.9311 
   9000.00488        0.9009 
   9000.00488        0.8767 
   9000.00488        0.8531 
   9000.00488        0.8417 
   9300.00488        0.9753 
   9300.00488        0.9391 
   9300.00488        0.9096 
   9300.00488        0.8863 
   9300.00488        0.8787 
   9300.00488        0.8780 
   9600.00488        0.9842 
   9600.00488        0.9587 
   9600.00488        0.9348 
   9600.00488        0.9231 
   9600.00488        0.9220 
   9600.00488        0.9251 
   9900.00488        0.9913 
   9900.00488        0.9857 
   9900.00488        0.9824 
   9900.00488        0.9810 
   9900.00488        0.9753 
   9900.00488        0.9696 
  10200.00488        0.9966 
  10200.00488        1.0144 
  10200.00488        1.0307 
  10200.00488        1.0342 
  10200.00488        1.0313 
  10200.00488        1.0302 
  10500.00488        1.0000 
  10500.00488        1.0357 
  10500.00488        1.0589 
  10500.00488        1.0754 
  10500.00488        1.0875 
