%
%
% Run:002   Table:buoys             SWASH version: 7.01
%
%       Tsec          Watlev   
%       [s]           [m]      
%
  24000.00586       -0.3415 
  24000.00586       -0.3218 
  24000.00586       -0.2993 
  24000.00586       -0.2813 
  24000.00586       -0.2656 
  24000.00586       -0.2602 
  24600.00586       -0.4220 
  24600.00586       -0.3973 
  24600.00586       -0.3766 
  24600.00586       -0.3578 
  24600.00586       -0.3496 
  24600.00586       -0.3481 
  25200.00586       -0.4997 
  25200.00586       -0.4898 
  25200.00586       -0.4830 
  25200.00586       -0.4825 
  25200.00586       -0.4807 
  25200.00586       -0.4785 
  25800.00586       -0.5742 
  25800.00586       -0.5926 
  25800.00586       -0.6061 
  25800.00586       -0.6129 
  25800.00586       -0.6167 
  25800.00586       -0.6196 
  26400.00586       -0.6434 
  26400.00586       -0.6715 
  26400.00586       -0.6960 
  26400.00586       -0.7135 
  26400.00586       -0.7254 
  26400.00586       -0.7283 
  27000.00586       -0.7077 
  27000.00586       -0.7260 
  27000.00586       -0.7450 
  27000.00586       -0.7650 
  27000.00586       -0.7766 
  27000.00586       -0.7811 
  27600.00586       -0.7661 
  27600.00586       -0.7716 
  27600.00586       -0.7756 
  27600.00586       -0.7752 
  27600.00586       -0.7779 
  27600.00586       -0.7789 
  28200.00586       -0.8190 
  28200.00586       -0.8076 
  28200.00586       -0.7942 
  28200.00586       -0.7832 
  28200.00586       -0.7723 
  28200.00586       -0.7681 
  28800.00586       -0.8654 
  28800.00586       -0.8418 
  28800.00586       -0.8235 
  28800.00586       -0.8098 
  28800.00586       -0.8023 
  28800.00586       -0.7996 
  29400.00586       -0.9061 
  29400.00586       -0.8942 
  29400.00586       -0.8825 
  29400.00586       -0.8739 
  29400.00586       -0.8706 
  29400.00586       -0.8704 
  30000.00586       -0.9400 
  30000.00586       -0.9499 
  30000.00586       -0.9566 
  30000.00586       -0.9605 
  30000.00586       -0.9593 
  30000.00586       -0.9578 
  30600.00586       -0.9665 
  30600.00586       -0.9897 
  30600.00586       -1.0114 
  30600.00586       -1.0263 
  30600.00586       -1.0371 
  30600.00586       -1.0410 
  31200.00586       -0.9855 
  31200.00586       -1.0103 
  31200.00586       -1.0316 
  31200.00586       -1.0526 
  31200.00586       -1.0672 
  31200.00586       -1.0730 
  31800.00586       -0.9966 
  31800.00586       -1.0119 
  31800.00586       -1.0268 
  31800.00586       -1.0360 
  31800.00586       -1.0405 
  31800.00586       -1.0408 
  32400.00586       -1.0000 
  32400.00586       -0.9993 
  32400.00586       -0.9955 
  32400.00586       -0.9905 
  32400.00586       -0.9868 
  32400.00586       -0.9864 
  33000.00391       -0.9958 
  33000.00391       -0.9776 
  33000.00391       -0.9611 
  33000.00391       -0.9508 
  33000.00391       -0.9453 
  33000.00391       -0.9427 
  33600.00391       -0.9843 
  33600.00391       -0.9664 
  33600.00391       -0.9529 
  33600.00391       -0.9409 
  33600.00391       -0.9331 
  33600.00391       -0.9308 
  34200.00391       -0.9660 
  34200.00391       -0.9666 
  34200.00391       -0.9622 
  34200.00391       -0.9580 
  34200.00391       -0.9544 
  34200.00391       -0.9528 
  34800.00391       -0.9400 
  34800.00391       -0.9541 
  34800.00391       -0.9681 
  34800.00391       -0.9782 
  34800.00391       -0.9851 
  34800.00391       -0.9873 
  35400.00391       -0.9069 
  35400.00391       -0.9302 
  35400.00391       -0.9526 
  35400.00391       -0.9721 
  35400.00391       -0.9847 
  35400.00391       -0.9896 
  36000.00391       -0.8667 
  36000.00391       -0.8904 
  36000.00391       -0.9087 
  36000.00391       -0.9220 
  36000.00391       -0.9309 
  36000.00391       -0.9333 
  36600.00391       -0.8193 
  36600.00391       -0.8254 
  36600.00391       -0.8317 
  36600.00391       -0.8346 
  36600.00391       -0.8351 
  36600.00391       -0.8357 
  37200.00391       -0.7658 
  37200.00391       -0.7530 
  37200.00391       -0.7409 
  37200.00391       -0.7338 
  37200.00391       -0.7300 
  37200.00391       -0.7284 
  37800.00391       -0.7066 
  37800.00391       -0.6871 
  37800.00391       -0.6692 
  37800.00391       -0.6537 
  37800.00391       -0.6446 
  37800.00391       -0.6419 
  38400.00391       -0.6425 
  38400.00391       -0.6303 
  38400.00391       -0.6190 
  38400.00391       -0.6093 
  38400.00391       -0.6005 
  38400.00391       -0.5971 
  39000.00391       -0.5737 
  39000.00391       -0.5773 
  39000.00391       -0.5797 
  39000.00391       -0.5825 
  39000.00391       -0.5862 
  39000.00391       -0.5873 
  39600.00391       -0.5005 
  39600.00391       -0.5189 
  39600.00391       -0.5368 
  39600.00391       -0.5510 
  39600.00391       -0.5602 
  39600.00391       -0.5642 
  40200.00391       -0.4232 
  40200.00391       -0.4473 
  40200.00391       -0.4678 
  40200.00391       -0.4836 
  40200.00391       -0.4922 
  40200.00391       -0.4941 
  40800.00391       -0.3423 
  40800.00391       -0.3540 
  40800.00391       -0.3640 
  40800.00391       -0.3710 
  40800.00391       -0.3768 
  40800.00391       -0.3795 
  41400.00391       -0.2586 
  41400.00391       -0.2497 
  41400.00391       -0.2426 
  41400.00391       -0.2385 
  41400.00391       -0.2355 
  41400.00391       -0.2345 
  42000.00391       -0.1731 
  42000.00391       -0.1526 
  42000.00391       -0.1335 
  42000.00391       -0.1173 
  42000.00391       -0.1066 
  42000.00391       -0.1022 
  42600.00391       -0.0867 
  42600.00391       -0.0669 
  42600.00391       -0.0486 
  42600.00391       -0.0333 
  42600.00391       -0.0235 
